,,A,B.E.,CDS-PP,CH,IL,JPP,L,MAS,MPT,NC,PAN,PCP-PEV,PCTP/MRPP,PDR,PNR,PPD/PSD,PPM,PS,PTP,PURP,R.I.R.
1205,2752,5,118,41,15,6,,12,,2,,32,85,19,1,0,536,,722,1,1,9
1206,3052,7,142,55,23,11,,6,,6,,20,179,35,2,5,376,,859,2,3,10
1207,19082,73,734,538,381,54,,48,,15,,162,456,78,11,40,1573,,3853,6,41,32
1208,2691,11,113,66,42,3,,6,,0,,20,142,14,4,1,374,,752,6,0,7
1209,3277,2,155,44,41,7,,16,,10,,46,168,35,2,2,286,,1050,1,4,16
1210,2765,10,97,46,22,8,,7,,1,,28,58,10,1,4,434,,740,6,6,4
1211,2584,4,99,77,65,6,,5,,1,,16,220,22,1,4,241,,609,1,1,0
1212,5869,6,212,109,72,9,,10,,3,,48,360,45,4,8,624,,1578,4,8,11
1213,14056,22,679,208,198,37,,31,,15,,117,1131,132,11,20,1098,,3164,14,13,24
1214,20376,89,916,429,331,70,,78,,22,,202,651,78,18,32,2922,,4949,6,27,50
1215,3935,13,152,60,46,13,,12,,5,,30,283,38,2,8,556,,943,2,3,5
1301,51022,71,1992,874,123,185,38,315,15,44,24,476,668,119,126,49,9230,28,11486,52,31,258
1302,17140,20,445,211,51,25,7,38,2,15,7,134,135,44,6,15,2362,7,4043,18,18,93
1303,51903,106,2241,1017,160,219,56,223,24,43,35,639,866,171,30,63,9696,25,12168,68,70,341
1304,146532,393,10146,2067,628,949,85,656,51,171,191,3460,6358,644,134,233,21895,66,31288,110,201,782
1305,41112,74,1750,766,146,143,24,249,11,41,25,512,642,134,35,38,7495,16,10236,64,44,583
1306,116306,452,8163,1998,452,1551,154,751,40,179,144,3238,3316,357,112,163,23313,60,24833,105,126,443
1307,45519,74,1713,1148,108,148,36,103,12,33,32,534,594,102,36,45,8220,26,10261,42,48,465
1308,152033,417,10603,2360,611,1799,90,948,37,174,174,3760,4844,479,149,193,25522,85,34237,97,185,563
1309,48744,78,1807,1256,141,205,21,201,10,41,30,659,834,133,40,51,10582,22,9667,47,43,358
1310,73701,152,2828,2035,310,317,51,256,36,79,69,1142,1292,250,56,79,15763,45,16469,87,66,1094
1311,61925,107,2960,1134,220,246,58,235,30,58,51,892,1078,217,45,65,11931,35,14701,82,77,2104
1312,210104,728,14170,5381,564,3641,94,2060,42,170,236,4651,8359,557,107,235,44211,126,39505,106,234,600
1313,60199,140,2595,1889,225,392,26,261,23,62,47,842,951,116,55,68,13306,21,8845,54,49,170
1314,62551,155,3620,1230,184,313,46,249,33,61,52,1036,1487,195,98,79,11028,28,16048,75,73,303
1315,83587,216,5500,1087,363,607,64,404,39,107,80,1997,2802,305,87,112,12487,46,18475,64,98,830
1316,71466,183,3716,1471,273,513,50,333,17,69,63,1252,1467,206,74,91,13245,41,14737,52,98,296
1317,267060,924,18721,4552,1050,2751,155,1538,93,346,366,6546,8482,907,221,332,43288,162,57891,238,391,1110
1318,33784,80,1583,705,99,217,19,132,7,28,30,558,684,111,35,37,7609,18,7606,34,47,152
1401,32372,105,2359,668,430,109,,172,,40,80,477,1210,143,41,50,3343,40,7312,23,54,106
1402,11948,81,617,339,48,69,,56,,20,25,131,509,50,17,17,1775,13,2196,6,19,41
1403,19308,51,914,357,272,82,,66,,25,40,192,775,56,11,41,1662,20,4439,7,21,54
1404,6239,17,304,108,46,26,,18,,10,19,74,929,49,12,14,398,6,1310,5,11,20
1405,23896,119,1168,481,361,120,,127,,22,62,363,1479,132,47,57,2392,25,4084,13,28,79
1406,20478,76,1273,334,276,102,,151,,44,49,393,941,96,86,51,2090,35,4406,14,27,62
1407,7909,48,347,157,64,20,,32,,7,14,64,615,46,18,21,681,9,2005,5,9,26
1408,3332,19,196,75,67,6,,26,,6,9,54,227,21,5,8,265,5,911,1,5,17
1409,16202,58,676,391,121,60,,41,,10,19,128,1424,71,24,28,1387,15,3702,6,14,48
1410,17017,92,1334,352,320,112,,104,,19,44,322,648,49,27,55,1937,22,3542,14,23,63
1411,7107,21,337,263,55,38,,16,,8,21,112,102,34,14,14,1516,10,1567,11,5,25
1412,4951,23,236,178,41,22,,22,,6,10,40,336,32,8,9,488,8,1078,4,4,14
1413,6026,14,303,147,45,10,,19,,7,11,60,124,18,7,4,1531,15,1470,5,9,24
1414,17757,81,777,510,162,74,,94,,20,29,210,366,43,53,34,3567,19,3270,14,22,57
1415,18611,75,955,346,148,71,,54,,27,42,265,805,65,27,49,1410,18,3535,4,32,64
1416,51162,282,2785,1406,810,261,,239,,51,102,733,2014,156,63,136,7368,64,10821,27,56,143
1417,3264,21,234,97,27,10,,21,,5,10,86,91,29,1,8,623,0,780,2,9,25
1418,34326,163,2063,820,307,97,,149,,46,64,502,914,104,35,56,5096,45,7205,51,44,115
1419,31063,142,2469,652,275,141,,139,,39,80,479,1461,134,41,63,3643,40,6801,17,49,101
1420,6186,22,406,104,126,23,,41,,5,19,120,298,36,10,25,571,11,1512,1,16,36
1421,41335,188,1388,2008,209,152,,195,,54,65,559,394,68,58,94,10398,48,4890,35,41,146
1501,10357,18,450,136,61,20,,29,6,9,11,97,1363,70,17,12,510,10,2408,5,11,22
1502,15069,82,916,433,193,148,,119,8,21,21,358,1219,93,21,39,1585,15,3353,7,14,35
1503,150611,663,9903,2502,1284,1147,,1246,48,227,195,4127,11749,578,102,280,13186,143,32458,74,220,371
